row_id,agent_code,agent_age,agent_join_month,first_policy_sold_month,year_month,unique_proposals_last_7_days,unique_proposals_last_15_days,unique_proposals_last_21_days,unique_proposal,unique_quotations_last_7_days,unique_quotations_last_15_days,unique_quotations_last_21_days,unique_quotations,unique_customers_last_7_days,unique_customers_last_15_days,unique_customers_last_21_days,unique_customers,new_policy_count,ANBP_value,net_income,number_of_policy_holders,number_of_cash_payment_policies
28,62a909fb,24,4/1/2019,3/1/2022,1/1/2023,2,1,12,20,1,5,9,16,2,7,11,20,0,0,328620,0,63
29,a9b4595f,52,2/1/2022,10/1/2023,1/1/2023,1,0,17,20,0,2,5,17,0,5,10,15,23,2155445,527389,30,23
30,a74c182c,51,11/1/2020,7/1/2022,1/1/2023,2,2,20,27,1,1,9,23,1,3,13,17,32,884064,138832,17,256
31,dbb83747,38,4/1/2019,2/1/2022,1/1/2023,2,6,1,10,1,1,7,10,3,2,9,14,14,206962,53621,14,28
32,e17cec52,34,9/1/2019,7/1/2023,1/1/2023,2,3,12,22,3,4,4,13,3,6,5,14,0,0,395786,14,210
33,0b1d7054,28,9/1/2022,3/1/2024,1/1/2023,3,3,8,18,3,1,3,12,5,1,9,15,27,2685798,798574,30,135
34,207ecfc9,26,9/1/2021,10/1/2022,1/1/2023,3,3,5,14,2,1,6,11,4,4,11,19,22,1749220,448401,0,66
35,b60f9ab3,37,10/1/2021,4/1/2022,1/1/2023,0,3,7,13,4,1,2,8,4,5,5,14,17,1510450,233558,0,68
36,a500afe1,57,7/1/2019,7/1/2023,1/1/2023,2,1,6,14,3,6,7,17,4,6,11,21,16,1076544,276583,84,112
37,877de375,27,9/1/2021,10/1/2023,1/1/2023,3,1,13,18,4,0,2,12,4,4,5,13,24,366864,104456,52,24
38,a2d9fb74,48,10/1/2019,8/1/2022,1/1/2023,3,1,8,17,2,3,7,15,3,3,11,17,22,1270808,260096,17,132
39,e07699d8,51,11/1/2021,12/1/2023,1/1/2023,3,0,14,18,3,2,0,11,4,2,6,12,22,1122968,249101,0,176
40,572c0422,33,5/1/2019,1/1/2023,1/1/2023,2,1,0,4,4,2,1,8,5,3,3,11,8,441936,110042,33,24
41,bca73883,30,10/1/2022,1/1/2024,1/1/2023,1,0,17,21,2,2,5,20,4,2,11,17,27,2349540,665067,68,243
42,9e301c4f,58,3/1/2020,2/1/2022,1/1/2023,0,1,5,9,1,4,4,10,3,4,7,14,18,838530,165632,28,108
43,c2370af2,56,8/1/2021,6/1/2022,1/1/2023,1,1,16,23,1,1,9,15,3,3,9,15,24,1186512,209412,15,48
44,26142387,29,12/1/2020,6/1/2022,1/1/2023,1,1,2,8,3,6,2,12,3,9,4,16,9,176049,49954,48,81
45,97d645e0,52,1/1/2022,12/1/2023,1/1/2023,3,3,6,14,2,4,3,12,4,8,9,21,19,473841,51262,42,133
46,4d953b7c,46,4/1/2020,5/1/2023,1/1/2023,1,3,4,12,3,3,0,8,5,7,1,13,21,287448,70351,13,126
47,97eace3e,55,11/1/2022,4/1/2023,1/1/2023,3,4,16,28,0,2,8,23,0,4,11,15,0,0,388818,45,288
48,838ca2b3,22,5/1/2019,5/1/2023,1/1/2023,2,1,14,20,1,3,0,7,2,3,1,6,0,0,511666,0,216
49,94427825,51,6/1/2019,10/1/2022,1/1/2023,3,5,0,13,3,4,7,15,4,6,13,23,16,246816,65262,92,16
50,7d88bca8,54,8/1/2019,4/1/2024,1/1/2023,3,4,5,17,3,4,4,14,3,7,5,15,21,45549,12887,30,84
51,fbfad9de,59,8/1/2020,2/1/2022,1/1/2023,0,3,15,22,2,0,5,18,3,0,11,14,0,0,504614,56,75
52,a199082b,60,10/1/2021,11/1/2022,1/1/2023,1,5,20,29,2,4,4,28,3,5,6,14,37,2625298,391531,42,148
53,8450fe9e,35,2/1/2021,11/1/2022,1/1/2023,3,2,10,17,0,3,2,7,1,7,7,15,19,1660695,397081,45,76
54,8afae4e5,57,4/1/2022,1/1/2024,1/1/2023,1,5,6,17,0,0,1,14,1,0,4,5,20,873260,103756,5,120
55,380bd7cc,21,6/1/2021,5/1/2022,1/1/2023,0,6,4,15,1,0,0,14,2,0,2,4,20,1062320,193765,12,100
56,d189701f,54,3/1/2021,2/1/2024,1/1/2023,1,1,16,21,1,6,8,20,3,8,8,19,22,1321496,180819,0,22
57,ad55bf27,48,11/1/2019,11/1/2023,1/1/2023,3,1,3,9,2,4,2,9,4,4,2,10,12,543276,159835,20,24
58,9e2e849a,25,2/1/2022,9/1/2023,1/1/2023,0,2,8,13,1,0,4,11,3,3,6,12,21,1233981,273191,0,63
59,ea08d6a6,21,5/1/2019,4/1/2024,1/1/2023,3,3,18,27,0,1,6,22,0,3,7,10,28,2704380,618563,10,84
60,953805f0,35,10/1/2021,10/1/2022,1/1/2023,3,5,18,29,3,2,1,25,5,5,7,17,33,2195787,458047,51,33
61,250d39cb,39,7/1/2019,10/1/2022,1/1/2023,1,4,17,23,3,1,3,14,3,1,9,13,30,1287000,293406,52,30
62,3cf0c354,27,7/1/2020,4/1/2022,1/1/2023,2,5,18,30,2,1,4,15,3,5,8,16,36,1932444,287332,0,216
63,afb9ab2c,23,5/1/2022,6/1/2022,1/1/2023,3,4,8,17,0,0,7,16,0,2,12,14,24,1329696,328998,28,144
64,ff81f975,30,11/1/2020,4/1/2023,1/1/2023,3,3,2,13,0,0,0,5,0,2,0,2,0,0,77801,8,105
65,af45bd51,20,11/1/2019,10/1/2023,1/1/2023,2,1,8,12,1,0,2,10,3,3,7,13,21,1482075,225711,52,21
66,26c3dddd,35,11/1/2019,8/1/2022,1/1/2023,1,5,11,22,0,1,7,10,1,3,9,13,31,2467507,435347,0,217
67,b1dc3ef9,38,4/1/2019,4/1/2023,1/1/2023,1,1,19,22,1,6,5,20,2,7,5,14,26,1056744,160237,14,130
68,5922d261,21,5/1/2022,12/1/2022,1/1/2023,0,1,10,15,3,1,9,14,3,1,11,15,22,1907378,462055,60,176
69,1b2014ec,24,10/1/2020,3/1/2022,1/1/2023,1,4,9,15,3,4,2,12,4,4,2,10,18,1475010,266818,20,54
70,641f2147,44,1/1/2021,10/1/2023,1/1/2023,2,3,8,16,2,1,8,13,3,1,8,12,24,1769640,364432,0,48
71,b8241b24,51,4/1/2022,3/1/2024,1/1/2023,3,4,3,12,3,2,0,9,4,4,6,14,16,231040,40068,0,144
72,471fdac3,29,10/1/2022,4/1/2024,1/1/2023,1,0,12,15,4,6,5,16,4,8,10,22,17,1109046,244702,44,136
73,ae4aa5cf,44,2/1/2022,4/1/2024,1/1/2023,2,4,16,27,3,4,3,15,5,6,6,17,36,1376928,221678,34,216
74,79ba72f9,46,12/1/2022,9/1/2023,1/1/2023,0,3,11,18,2,4,4,11,3,4,10,17,19,1431308,332350,68,0
75,b5db7693,57,4/1/2019,3/1/2023,1/1/2023,1,6,2,14,0,5,3,11,2,5,5,12,19,565307,108651,36,38
76,01c63d8e,31,7/1/2020,6/1/2022,1/1/2023,1,5,20,31,0,6,8,18,2,9,14,25,36,130392,18068,100,108
77,f7dbb5bd,42,10/1/2019,12/1/2022,1/1/2023,2,4,4,11,1,1,0,7,3,3,2,8,17,1564136,368585,8,68
78,52de1f9c,60,12/1/2019,3/1/2022,1/1/2023,1,5,13,21,3,6,7,19,3,8,10,21,27,2103975,253370,42,243
79,09b8e785,54,1/1/2022,6/1/2023,1/1/2023,3,3,15,22,2,2,2,15,2,6,8,16,26,849420,117509,64,78
80,8265855f,29,12/1/2019,8/1/2023,1/1/2023,3,4,8,20,3,4,1,9,4,4,1,9,0,0,76574,27,44
81,85f1427f,26,12/1/2019,4/1/2024,1/1/2023,2,1,5,13,1,5,2,11,2,9,6,17,14,157206,25451,68,70
82,8f699df7,35,10/1/2020,3/1/2022,1/1/2023,1,6,12,22,1,0,9,14,2,3,14,19,27,461808,69046,0,54
83,e4c90b16,20,1/1/2022,12/1/2023,1/1/2023,1,2,7,12,0,3,4,8,0,4,7,11,19,1482836,443626,22,114
84,956005ab,43,4/1/2021,12/1/2022,1/1/2023,1,6,5,13,2,2,6,12,3,2,10,15,22,1793154,247550,60,0
85,8f77f8e4,55,5/1/2020,1/1/2022,1/1/2023,1,0,1,3,2,0,0,3,2,2,2,6,8,226864,24794,12,40
86,0e4280de,28,12/1/2020,9/1/2023,1/1/2023,3,1,16,25,0,4,6,19,0,5,8,13,27,1723005,348871,26,0
87,2d168116,40,4/1/2020,8/1/2022,1/1/2023,0,1,19,21,3,4,7,15,3,4,10,17,22,524414,109458,68,0
88,aff0c4c3,43,11/1/2020,10/1/2023,1/1/2023,0,1,4,8,3,6,0,10,5,9,1,15,11,373901,101704,45,77
89,f2c082c3,41,5/1/2021,3/1/2023,1/1/2023,0,0,18,21,1,1,5,11,3,2,11,16,0,0,19286,48,120
90,ccd937b8,34,9/1/2020,12/1/2022,1/1/2023,2,4,11,21,1,3,5,18,3,6,5,14,28,2547216,508384,56,196
91,97045eb6,59,4/1/2019,3/1/2023,1/1/2023,1,3,11,16,0,2,9,14,2,3,13,18,22,849662,156282,0,66
92,19e0d9d3,60,3/1/2020,7/1/2023,1/1/2023,1,5,7,17,0,2,2,16,0,2,6,8,22,1695254,470945,0,44
93,601d9d26,53,2/1/2022,11/1/2022,1/1/2023,2,6,17,29,1,3,8,20,3,4,13,20,33,860442,102438,0,132
94,328e4201,43,12/1/2021,8/1/2023,1/1/2023,3,3,15,25,1,0,9,23,3,2,15,20,32,1679616,255471,60,96
95,38aaffd5,41,8/1/2019,3/1/2023,1/1/2023,3,1,14,21,4,5,2,13,4,6,3,13,25,1935550,294179,52,150
96,96471aab,21,2/1/2021,9/1/2022,1/1/2023,3,2,14,23,3,6,2,22,4,8,8,20,25,1229575,299074,40,100
97,50bb84a3,52,11/1/2021,9/1/2023,1/1/2023,0,5,5,15,0,1,7,11,2,5,10,17,19,1301918,388124,0,38
98,ffe6c9e9,54,8/1/2019,11/1/2023,1/1/2023,0,6,6,13,4,0,8,13,5,2,11,18,18,573138,127744,72,162
99,7f69270a,31,4/1/2019,5/1/2022,1/1/2023,3,3,5,12,1,6,5,13,2,9,8,19,16,1597872,173046,19,96
100,7fe3706e,33,1/1/2022,3/1/2024,1/1/2023,3,4,19,27,4,5,7,25,4,5,13,22,0,0,301124,0,34
101,5d8cf04d,41,9/1/2022,3/1/2023,1/1/2023,2,1,10,15,4,2,9,16,5,2,13,20,21,1174026,265927,20,105
102,fd4ffb55,47,2/1/2021,7/1/2023,1/1/2023,1,4,13,23,2,3,1,7,4,5,5,14,0,0,43011,42,210
103,2f8f3b33,35,2/1/2020,1/1/2022,1/1/2023,3,4,12,21,2,0,4,9,3,0,6,9,0,0,259020,9,26
104,6452bd08,56,4/1/2021,3/1/2023,1/1/2023,1,6,2,12,2,4,9,16,4,5,9,18,20,1049560,302565,54,180
105,087ef587,36,7/1/2019,3/1/2022,1/1/2023,2,4,13,21,2,6,5,17,4,7,11,22,22,110110,32403,88,154
106,b4caec29,58,7/1/2022,1/1/2024,1/1/2023,1,3,0,6,1,1,4,7,3,3,10,16,11,1039698,139380,64,33
107,54768850,39,8/1/2019,8/1/2022,1/1/2023,1,1,10,14,0,6,7,14,0,9,7,16,19,89338,23390,48,152
108,60b8427e,48,2/1/2021,7/1/2022,1/1/2023,1,4,16,25,3,1,9,23,3,1,11,15,32,306016,46943,60,128
109,51321fa2,45,1/1/2021,4/1/2024,1/1/2023,2,0,20,24,4,6,7,22,6,9,11,26,32,2180288,462637,26,0
110,b18f0678,24,4/1/2019,9/1/2022,1/1/2023,1,3,0,6,4,1,4,10,5,1,8,14,14,667828,170750,0,14
111,6289cef1,60,4/1/2020,7/1/2022,1/1/2023,3,2,8,17,2,0,6,14,3,1,9,13,25,1203725,320965,26,200
112,34e9e182,30,4/1/2019,4/1/2024,1/1/2023,0,5,6,12,1,3,4,9,1,7,4,12,20,974180,159701,12,100
113,fd35a114,39,12/1/2020,6/1/2022,1/1/2023,1,2,19,27,2,4,2,24,3,8,3,14,35,383005,67698,28,35
114,3515f968,48,12/1/2021,11/1/2022,1/1/2023,0,6,1,12,1,5,1,11,3,5,6,14,20,201240,30163,14,60
115,f6364d60,56,1/1/2021,1/1/2022,1/1/2023,3,0,12,19,3,4,9,18,5,6,13,24,26,1306084,180303,0,182
116,b9a1ddb2,48,6/1/2020,11/1/2022,1/1/2023,3,5,5,17,1,2,5,10,2,3,11,16,18,1316700,319438,64,144
117,b919eeca,21,11/1/2021,3/1/2023,1/1/2023,2,0,13,20,1,2,0,5,3,5,5,13,24,720096,87425,26,72
118,88c2ff7a,45,3/1/2020,2/1/2023,1/1/2023,3,3,19,26,1,1,1,13,2,2,5,9,32,2512800,269416,0,96
119,12d58408,50,2/1/2021,10/1/2022,1/1/2023,3,0,4,8,0,3,7,11,2,4,12,18,16,1037264,173579,54,80
120,aa741268,37,1/1/2021,8/1/2022,1/1/2023,3,4,14,22,0,5,6,17,2,8,7,17,23,210036,57139,0,46
121,57797bda,43,2/1/2021,12/1/2022,1/1/2023,1,1,9,12,1,2,0,7,1,4,2,7,17,1005771,274908,0,34
122,4d543192,43,10/1/2022,5/1/2023,1/1/2023,1,2,19,24,3,1,3,13,5,5,5,15,0,0,193686,45,210
123,ad540940,30,1/1/2021,3/1/2024,1/1/2023,1,2,8,12,3,1,6,11,4,2,7,13,14,210140,49100,39,70
124,046d7894,35,10/1/2019,2/1/2024,1/1/2023,2,3,15,22,4,4,3,12,5,4,6,15,0,0,13171,0,78
125,7.28E+05,45,8/1/2020,8/1/2022,1/1/2023,2,2,1,9,2,2,3,8,2,4,3,9,15,509190,118159,27,60
126,926a4de6,46,1/1/2022,6/1/2023,1/1/2023,1,6,10,22,4,5,3,21,4,5,7,16,31,1151216,312380,48,62
127,2c95542c,48,5/1/2019,9/1/2023,1/1/2023,0,2,1,4,1,5,5,12,3,7,8,18,5,102985,11581,54,5
128,af1c7a87,44,3/1/2020,8/1/2023,1/1/2023,3,4,16,27,2,4,2,15,4,8,5,17,34,3150780,600176,0,68
129,7167c72f,35,12/1/2020,5/1/2022,1/1/2023,2,1,1,6,4,1,2,8,5,5,5,15,8,237432,36759,30,24
130,ce838c4f,32,8/1/2021,6/1/2023,1/1/2023,3,5,2,12,0,6,9,16,2,7,14,23,15,1165170,338857,23,15
131,b1e0ad90,22,5/1/2020,12/1/2023,1/1/2023,3,4,4,12,3,1,6,11,3,1,7,11,18,46278,5158,11,36
132,eb601c15,29,9/1/2022,8/1/2023,1/1/2023,2,1,6,12,0,3,3,9,2,3,8,13,16,1321104,140148,26,80
133,e9bfb25c,53,11/1/2019,3/1/2022,1/1/2023,3,4,19,27,0,4,4,9,1,7,5,13,29,2037134,429312,13,0
134,a1f12a6c,59,3/1/2022,8/1/2022,1/1/2023,2,5,3,14,0,6,6,13,0,6,10,16,18,1307106,346679,48,108
135,b02dee9c,44,4/1/2020,9/1/2022,1/1/2023,3,2,1,11,2,4,3,10,4,6,7,17,15,1216515,362959,17,105
136,6e69e08b,44,3/1/2021,4/1/2022,1/1/2023,2,1,1,8,2,3,3,9,3,7,4,14,16,1355488,337907,56,0
137,e1fdaeaa,43,2/1/2021,5/1/2022,1/1/2023,2,2,5,11,1,4,8,14,2,6,11,19,13,572208,161671,0,52
138,7c6db591,40,9/1/2020,10/1/2022,1/1/2023,1,1,8,13,4,2,2,11,5,3,8,16,14,831222,212646,16,84
139,9828b73c,53,8/1/2019,4/1/2023,1/1/2023,0,5,16,26,1,4,6,15,2,5,9,16,28,795984,133025,48,140
140,c659c596,30,4/1/2022,10/1/2022,1/1/2023,0,5,12,18,2,0,6,10,2,2,7,11,26,2114970,546780,33,52
141,bc0e04ce,51,9/1/2019,1/1/2023,1/1/2023,2,6,14,23,2,2,1,12,3,5,3,11,28,2787400,472877,22,252
142,d3e24bb5,53,11/1/2020,2/1/2024,1/1/2023,3,5,18,30,4,6,0,12,6,6,3,15,38,480624,115676,15,0
143,47947b4c,59,11/1/2022,2/1/2023,1/1/2023,2,1,8,16,2,5,3,14,3,6,6,15,24,562656,79968,0,0
144,79070d83,60,2/1/2020,12/1/2023,1/1/2023,2,1,1,7,4,1,5,11,6,3,10,19,8,710816,128220,0,48
145,fa5f58d1,44,5/1/2021,12/1/2022,1/1/2023,2,2,11,16,2,6,5,14,4,10,11,25,17,170051,49534,25,68
146,89633f45,50,8/1/2022,4/1/2024,1/1/2023,0,1,4,6,2,3,3,9,2,6,8,16,9,376128,68596,32,63
147,232f671f,22,3/1/2022,12/1/2022,1/1/2023,2,5,9,17,0,5,8,14,1,6,13,20,23,1503510,377212,0,92
148,45910031,28,8/1/2021,3/1/2022,1/1/2023,2,4,5,12,0,1,6,11,1,5,8,14,13,157937,23163,28,91
149,98e4577e,53,5/1/2022,11/1/2023,1/1/2023,1,4,16,25,2,3,5,21,2,6,11,19,29,1407283,163998,76,145
150,8dab5c95,23,1/1/2021,2/1/2024,1/1/2023,2,2,3,9,4,4,7,16,6,8,12,26,0,0,210813,0,26
151,39fdf86e,20,2/1/2022,2/1/2024,1/1/2023,0,0,10,13,0,1,9,11,0,1,9,10,0,0,162583,30,68
152,1c413762,53,4/1/2021,12/1/2022,1/1/2023,0,5,3,10,0,4,0,5,2,6,5,13,14,1245356,309635,52,28
153,0f6f67b0,52,11/1/2019,3/1/2024,1/1/2023,1,0,13,17,4,3,2,11,6,7,2,15,18,1379232,214143,15,18
154,decee04f,24,4/1/2019,2/1/2024,1/1/2023,2,5,15,27,3,3,1,9,5,7,7,19,28,824096,91061,19,196
155,1892831c,40,6/1/2019,2/1/2024,1/1/2023,2,5,8,20,0,1,7,9,1,1,9,11,27,1744821,320948,22,216
156,e906fb9f,28,5/1/2020,8/1/2022,1/1/2023,3,0,6,13,2,1,7,12,2,1,13,16,17,825588,92924,16,153
157,a045b770,58,7/1/2019,7/1/2022,1/1/2023,2,2,15,23,2,0,9,18,3,0,9,12,24,954096,268078,48,216
158,8ba38ed9,28,9/1/2022,12/1/2023,1/1/2023,2,0,14,17,2,0,2,15,4,0,5,9,20,177340,44919,27,180
159,0c22f517,34,9/1/2021,3/1/2024,1/1/2023,1,3,14,23,1,1,3,6,2,1,6,9,26,1773278,529761,27,52
160,0e0c2212,58,5/1/2020,3/1/2024,1/1/2023,1,5,20,27,0,2,3,20,2,3,8,13,33,1021185,171471,26,198
161,1ee2b2ae,42,9/1/2021,5/1/2023,1/1/2023,3,1,5,10,3,2,4,10,4,5,8,17,18,1640124,461254,68,126
162,40b62a16,20,6/1/2022,9/1/2022,1/1/2023,0,5,11,18,1,1,5,15,3,1,6,10,26,2534116,701845,30,0
163,8.09E+28,57,8/1/2022,10/1/2022,1/1/2023,0,4,18,24,1,1,6,16,3,4,12,19,28,567280,109728,76,112
164,fabe7d5c,44,7/1/2022,12/1/2022,1/1/2023,3,3,0,7,1,0,8,10,1,1,12,14,16,438832,81898,28,16
165,b5aec5c3,52,1/1/2022,5/1/2023,1/1/2023,2,6,10,23,4,5,9,20,6,8,15,29,25,2220050,289560,0,150
166,11ee7678,21,5/1/2020,11/1/2022,1/1/2023,3,6,5,15,4,5,3,14,5,6,5,16,23,1427955,328225,48,138
167,cd1f2573,26,4/1/2021,8/1/2023,1/1/2023,1,6,10,20,3,5,8,18,4,6,13,23,25,1976275,412857,46,100
168,6ffcf8e2,31,6/1/2019,1/1/2022,1/1/2023,3,5,20,29,0,4,8,13,2,6,13,21,34,1886830,320721,42,306
169,974da954,34,8/1/2021,1/1/2023,1/1/2023,2,4,19,29,1,6,5,23,2,9,7,18,0,0,549276,0,170
170,87c0771b,30,8/1/2022,3/1/2023,1/1/2023,1,1,5,11,2,1,7,11,2,1,11,14,0,0,172899,14,114
171,23b47704,36,12/1/2022,10/1/2023,1/1/2023,2,0,11,18,3,1,6,15,4,2,9,15,26,2207478,336827,30,52
172,66df6d5a,55,12/1/2022,8/1/2023,1/1/2023,0,2,16,19,3,5,8,18,5,8,14,27,28,2562000,405971,0,28
173,0a318094,58,9/1/2019,8/1/2023,1/1/2023,0,5,15,23,2,1,1,12,2,3,1,6,25,1630775,463655,18,75
174,0279d0a7,27,7/1/2019,8/1/2023,1/1/2023,0,0,15,20,1,0,5,7,2,0,11,13,0,0,345524,39,182
175,0fd5804f,27,4/1/2019,12/1/2023,1/1/2023,2,4,6,15,3,6,5,15,3,7,9,19,24,384504,97885,57,216
176,0a419b45,25,6/1/2019,5/1/2022,1/1/2023,0,3,10,16,4,2,8,15,4,2,8,14,21,1094856,182219,42,0
177,68198d93,50,7/1/2020,10/1/2022,1/1/2023,0,5,20,27,2,3,9,23,4,5,15,24,30,781290,124872,72,30
178,0e4db07d,38,3/1/2021,4/1/2022,1/1/2023,2,5,5,16,1,0,8,10,2,0,14,16,0,0,97812,32,68
179,ae14c4be,29,5/1/2020,4/1/2023,1/1/2023,2,3,10,18,3,4,0,12,4,5,5,14,21,1281126,318897,28,0
180,75703031,53,7/1/2022,7/1/2023,1/1/2023,1,3,11,16,4,4,2,13,5,8,5,18,22,731720,169772,18,176
181,5550ec46,42,8/1/2019,5/1/2023,1/1/2023,1,0,13,18,3,6,9,19,5,6,15,26,27,2542428,635543,104,216
182,344e0483,54,11/1/2019,3/1/2022,1/1/2023,2,4,16,26,4,1,8,19,5,3,13,21,0,0,287120,84,306
183,9e32a219,37,11/1/2020,3/1/2023,1/1/2023,3,3,15,24,4,6,4,16,6,8,9,23,33,1633929,302683,92,231
184,6fa65e5e,42,6/1/2020,6/1/2022,1/1/2023,0,0,13,15,1,5,7,14,1,9,8,18,19,1746119,461473,54,95
185,ea99911b,54,10/1/2019,11/1/2023,1/1/2023,0,3,11,17,4,6,1,16,5,9,1,15,19,553888,141484,30,171
186,0b51084d,50,6/1/2021,6/1/2022,1/1/2023,0,5,14,23,2,4,9,22,3,5,11,19,29,2003842,550362,0,58
187,a6c30232,24,12/1/2021,10/1/2022,1/1/2023,1,3,12,20,0,1,1,16,0,4,6,10,26,718614,99014,30,234
188,9caee735,54,12/1/2019,8/1/2023,1/1/2023,2,3,13,23,1,1,8,22,3,2,13,18,32,1713312,443606,36,32
189,e56767cf,51,9/1/2022,4/1/2023,1/1/2023,1,4,17,26,4,5,9,25,6,5,9,20,0,0,678487,0,112
190,62379003,41,9/1/2021,4/1/2024,1/1/2023,2,4,16,27,0,5,8,17,2,5,10,17,35,2852780,428320,17,0
191,1a7f1c16,34,4/1/2022,4/1/2023,1/1/2023,0,0,5,6,0,5,0,6,2,7,2,11,13,1248988,292567,0,13
192,7a1787dc,47,8/1/2022,3/1/2023,1/1/2023,3,0,10,17,4,4,9,18,5,8,14,27,22,2102870,351944,0,198
193,bb428b4d,56,8/1/2020,1/1/2024,1/1/2023,3,2,7,14,1,1,7,10,1,3,12,16,19,840370,87825,0,114
194,8b1eb4a9,51,6/1/2019,3/1/2022,1/1/2023,1,3,8,15,3,5,1,13,3,8,1,12,17,1380332,231089,36,153
195,3812c4ee,54,3/1/2022,10/1/2023,1/1/2023,2,3,13,20,0,2,3,8,0,4,7,11,27,2049057,231523,44,27
196,3c42efd4,43,9/1/2021,12/1/2022,1/1/2023,3,5,14,25,2,2,8,20,4,5,10,19,32,1312480,351140,38,256
197,765fff3b,39,9/1/2022,3/1/2023,1/1/2023,3,1,13,18,4,6,8,19,5,9,13,27,25,419150,68874,54,150
198,69e592f6,54,2/1/2020,8/1/2022,1/1/2023,3,6,3,15,2,1,0,6,4,2,0,6,18,493290,123260,0,108
199,dc8c2cc3,34,12/1/2019,3/1/2023,1/1/2023,2,2,0,8,2,1,1,6,2,4,1,7,9,227547,39303,28,27
200,0db1f74b,44,2/1/2021,3/1/2024,1/1/2023,3,2,17,27,3,3,4,12,4,4,10,18,29,2310401,413686,0,87
